"LOCATION","Country","TRANSACT","Transaction","PRODUCT","Product","FLOW","Flow","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UP2ZG","P2, Wholesale and retail trade, repair of motor vehicles and motorcycles ","P80_82","Security & investigation serv., serv. to buildings & other business support","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1707,,
"NLD","Netherlands","UP2ZU","P2, Activities of extraterritorial organizations and bodies","PM","Professional, scientific and technical services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z87_88","P2, Residential care and social work activities ","PU","Services provided by extraterritorial organisations and bodies","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z49","P2, Land transport and transport via pipelines","P93","Sporting services and amusement and recreation services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,8,,
"NLD","Netherlands","UP6","Exports","PI","Accommodation and food services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,66,,
"NLD","Netherlands","UP2ZB","P2, Mining and quarrying","P46","Wholesale trade services, except of motor vehicles and motorcycles","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,9,,
"NLD","Netherlands","UP2Z90_92","P2, Arts, cultural activities, gambling and betting activities","P52","Warehousing and support services for transportation","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,13,,
"NLD","Netherlands","UP2Z66","P2, Activities auxiliary to financial service and insurance activities","P68B","Real estate services excluding imputed rents","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,311,,
"NLD","Netherlands","UP2Z68A","P2, Imputed rents of owner-occupied dwellings","P49","Land transport services and transport services via pipelines","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2ZG","P2, Wholesale and retail trade, repair of motor vehicles and motorcycles ","P58","Publishing services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1545,,
"NLD","Netherlands","UP2ZA","P2, Agriculture, forestry and fishing","P25","Fabricated metal products, except machinery and equipment","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,35,,
"NLD","Netherlands","UP2Z95","P2, Repair of computers and personal and household goods","P10_12","Food, beverages and tobacco products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP6","Exports","P64","Financial services, except insurance and pension funding","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,3180,,
"NLD","Netherlands","UP2ZE","P2, Water supply, sewerage, waste management and remediation activities  ","P94","Services furnished by membership organisations","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,30,,
"NLD","Netherlands","UP2Z72","P2, Scientific research and development ","P33","Repair and installation services of machinery and equipment","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,39,,
"NLD","Netherlands","UP2Z62_63","P2, IT and other information services","P68B","Real estate services excluding imputed rents","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,803,,
"NLD","Netherlands","UP2Z49","P2, Land transport and transport via pipelines","P36","Natural water, water treatment and supply services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,7,,
