"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Activity","PRODUCT","Product","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","PL","Real estate services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","P69_70","Legal, accounting, head offices services, management consultancy serv.","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","PJ","Information and communication services","RT","Ratio","2019","2019",,,"0","Units",,,19.581617,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P46","Wholesale trade services, except of motor vehicles and motorcycles","RT","Ratio","2019","2019",,,"0","Units",,,16.024589,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P31_32","Furniture and other manufactured goods","RT","Ratio","2019","2019",,,"0","Units",,,72.209302,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P79","Travel agency, tour operator & other reservation services & related serv.","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P50","Water transport services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","PK","Financial and insurance services","RT","Ratio","2019","2019",,,"0","Units",,,0,"E","Estimated value"
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P51","Air transport services","RT","Ratio","2019","2019",,,"0","Units",,,31.900704,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","PM","Professional, scientific and technical services","RT","Ratio","2019","2019",,,"0","Units",,,18.754222,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","P16","Wood & prod. of wood & cork, exc. furniture, of straw & plaiting materials","RT","Ratio","2019","2019",,,"0","Units",,,27.272727,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P87_88","Residential care services, social work services without accommodation","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P37_39","Sewerage services, sewage sludge, waste collection & management serv.","RT","Ratio","2019","2019",,,"0","Units",,,14.901852,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","PTOT","Total product","RT","Ratio","2019","2019",,,"0","Units",,,25.7615,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","PA","Products of agriculture, forestry and fishing","RT","Ratio","2019","2019",,,"0","Units",,,40.442051,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P29","Motor vehicles, trailers and semi-trailers","RT","Ratio","2019","2019",,,"0","Units",,,19.408662,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P01","Products of agriculture, hunting and related services","RT","Ratio","2019","2019",,,"0","Units",,,47.749944,,
