LOCATION,Country,TRANSACT,Transaction,PRODUCT,Product,FLOW,Flow,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,UP2Z50,"P2, Water transport",BPU,"Services provided by extraterritorial organisations and bodies, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2ZM,"P2, Professional, scientific and technical activities",BP22,"Rubber and plastic products, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,68,,
NLD,Netherlands,UP2Z21,"P2, Manufacture of basic pharmaceutical products and preparations",BPJ,"Information and communication services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,35,,
NLD,Netherlands,UP2Z74_75,"P2, Other professional, scientific and tech. activities, veterinary activ. ",BP10_12,"Food, beverages and tobacco products, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,3,,
NLD,Netherlands,UP2Z95,"P2, Repair of computers and personal and household goods",BP65,"Insurance, reinsurance & pension funding services, exc. compulsory S.S., bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1,,
NLD,Netherlands,UP2Z93,"P2, Sports activities and amusement and recreation activities",BPU,"Services provided by extraterritorial organisations and bodies, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2ZB,"P2, Mining and quarrying ",BP69_70,"Legal, accounting, head offices services, management consultancy serv., bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,156,,
NLD,Netherlands,UP2ZE,"P2, Water supply, sewerage, waste management and remediation activities ",BP17,"Paper and paper products, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,7,,
NLD,Netherlands,UP2Z51,"P2, Air transport ",BPD,"Electricity, gas, steam and air conditioning, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,7,,
NLD,Netherlands,UP2Z68B,"P2, Real estate activities excluding imputed rents",BP27,"Electrical equipment, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,31,,
NLD,Netherlands,UP2Z46,"P2, Wholesale trade, except of motor vehicles and motorcycles",BP86,"Human health services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,89,,
NLD,Netherlands,UP2Z77,"P2, Rental and leasing activities ",BP86,"Human health services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2ZTOT,"Intermediate consumption (P2), Total activity",BPJ,"Information and communication services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,34752,,
NLD,Netherlands,UP2Z31_32,"P2, Manufacture of furniture, other manufacturing",BP28,"Machinery and equipment n.e.c., bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2ZN,"P2, Administrative and support service activities",BPC,"Manufactured products, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1724,,
NLD,Netherlands,UP2Z27,"P2, Manufacture of electrical equipment",BP51,"Air transport services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1,,
NLD,Netherlands,UP5,Gross Capital formation,BP13_15,"Textiles, wearing apparel, leather and related products, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,219,,
NLD,Netherlands,UP2ZO,"P2, Public administration and defence, compulsory social security",BP49,"Land transport services and transport services via pipelines, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,281,,
NLD,Netherlands,UP2Z25,"P2, Manufacture of fabricated metal products, except machinery & equipment ",BP95,"Repair services of computers and personal and household goods, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,3,,
NLD,Netherlands,UP2Z73,"P2, Advertising and market research",BP79,"Travel agency, tour operator & other reservation services & related, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,2,,
NLD,Netherlands,UP2Z74_75,"P2, Other professional, scientific and tech. activities, veterinary activ. ",BP46,"Wholesale trade services, except of motor vehicles and motorcycles, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,168,,
NLD,Netherlands,UP2Z69_70,"P2, Legal, accounting, head offices, management consultancy activities",BP47,"Retail trade services, except of motor vehicles and motorcycles, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP51,Gross fixed capital formation ,BPJ,"Information and communication services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,16739,,
NLD,Netherlands,UP2Z59_60,"P2, Audiovisual and broadcasting activities",BP37_39,"Sewerage services, sewage sludge, waste collection & management serv., bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,7,,
