LOCATION,Country,TRANSACT,Transaction,ACTIVITY,Activity,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,SP11,Market output at basic prices   ,Z18,Printing and reproduction of recorded media,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,3006,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z46,"Wholesale trade, except of motor vehicles and motorcycles",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,709,,
NLD,Netherlands,SP1,Output at basic prices  ,Z16,"Manufacture of wood and of products of wood and cork,etc.",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,3586,,
NLD,Netherlands,SP12,Output for own final use at basic prices,ZU,Activities of extraterritorial organizations and bodies,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z58,Publishing activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,57,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z72,Scientific research and development,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,350,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z64,"Financial service activities, except insurance and pension funding",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,1228,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z78,Employment activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z86,Human health activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,773,,
NLD,Netherlands,SP1,Output at basic prices  ,Z13_15,"Manufacture of textiles, wearing apparel, leather and related products",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,3791,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,ZH,Transportation and storage,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,2455,,
NLD,Netherlands,SP1,Output at basic prices  ,Z37_39,"Sewerage, waste collection and management services",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,10226,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z51,Air transport,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP12,Output for own final use at basic prices,ZM,"Professional, scientific and technical activities",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1245,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z24,Manufacture of basic metals,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,8855,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z94,Activities of membership organizations,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,323,,
NLD,Netherlands,SP1,Output at basic prices  ,Z72,Scientific research and development,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,5126,,
NLD,Netherlands,SP11,Market output at basic prices   ,ZA,"Agriculture, forestry and fishing",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,32114,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z13_15,"Manufacture of textiles, wearing apparel, leather and related products",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP12,Output for own final use at basic prices,ZM,"Professional, scientific and technical activities",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,1218,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z74_75,"Other professional, scientific and tech. activities, veterinary activ.",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,6882,,
NLD,Netherlands,SP11,Market output at basic prices   ,ZK,Financial and insurance activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,83891,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z01,"Crop and animal production, hunting and related service activities",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,184,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z95,Repair of computers and personal and household goods,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1183,,
NLD,Netherlands,SP1,Output at basic prices  ,Z02,Forestry and logging,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,335,,
NLD,Netherlands,SP11,Market output at basic prices   ,ZS,Other service activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,9618,,
NLD,Netherlands,SP1,Output at basic prices  ,ZB,Mining and quarrying,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,9792,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z03,Fishing and aquaculture,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,504,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z33,Repair and installation of machinery and equipment,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,45,,
NLD,Netherlands,SP1,Output at basic prices  ,Z30,Manufacture of other transport equipment,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,8715,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z62_63,IT and other information services,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,49551,,
